"art_hist1","art_hist_2","artist_or_period"
"Ulrich Middeldorf","John Pope-Hennessy","italian renaissance"
"Federico Zeri","John Pope-Hennessy","donatello"
"Everett Fahy","John Pope-Hennessy","15th century"
"Federico Zeri","John Pope-Hennessy","15th century"
"Stefano Tumidei","John Pope-Hennessy","15th century"
"Fritz Heinemann","John Pope-Hennessy","15th century"
"Luisa Vertova","John Pope-Hennessy","15th century"
"Julian Kliemann","John Pope-Hennessy","15th century"
"Roberto Longhi","John Pope-Hennessy","15th century"
"Federico Zeri","Everett Fahy","15th century"
"Stefano Tumidei","Everett Fahy","15th century"
"Fritz Heinemann","Everett Fahy","15th century"
"Luisa Vertova","Everett Fahy","15th century"
"Julian Kliemann","Everett Fahy","15th century"
"Roberto Longhi","Everett Fahy","15th century"
"Stefano Tumidei","Federico Zeri","15th century"
"Fritz Heinemann","Federico Zeri","15th century"
"Luisa Vertova","Federico Zeri","15th century"
"Julian Kliemann","Federico Zeri","15th century"
"Roberto Longhi","Federico Zeri","15th century"
"Fritz Heinemann","Stefano Tumidei","15th century"
"Luisa Vertova","Stefano Tumidei","15th century"
"Julian Kliemann","Stefano Tumidei","15th century"
"Roberto Longhi","Stefano Tumidei","15th century"
"Luisa Vertova","Fritz Heinemann","15th century"
"Julian Kliemann","Fritz Heinemann","15th century"
"Roberto Longhi","Fritz Heinemann","15th century"
"Julian Kliemann","Luisa Vertova","15th century"
"Roberto Longhi","Luisa Vertova","15th century"
"Roberto Longhi","Julian Kliemann","15th century"
"Gustav Ludwig","John Pope-Hennessy","15th century"
"Gustav Ludwig","Everett Fahy","15th century"
"Gustav Ludwig","Federico Zeri","15th century"
"Gustav Ludwig","Stefano Tumidei","15th century"
"Fritz Heinemann","Gustav Ludwig","15th century"
"Luisa Vertova","Gustav Ludwig","15th century"
"Julian Kliemann","Gustav Ludwig","15th century"
"Roberto Longhi","Gustav Ludwig","15th century"
"Ernst Steinmann","John Pope-Hennessy","sandro botticelli"
"Everett Fahy","John Pope-Hennessy","sandro botticelli"
"Everett Fahy","Ernst Steinmann","sandro botticelli"
"Ernst Steinmann","John Pope-Hennessy","michelangelo"
"Kornél Fabriczy","John Pope-Hennessy","michelangelo"
"Kornél Fabriczy","Ernst Steinmann","michelangelo"
"Kurt Badt","Federico Zeri","baroque"
"Federico Zeri","Richard Krautheimer","baroque"
"Stefano Tumidei","Richard Krautheimer","baroque"
"Fritz Heinemann","Richard Krautheimer","baroque"
"Wolfgang Lotz","Richard Krautheimer","baroque"
"Julian Kliemann","Richard Krautheimer","baroque"
"Stefano Tumidei","Federico Zeri","baroque"
"Fritz Heinemann","Federico Zeri","baroque"
"Wolfgang Lotz","Federico Zeri","baroque"
"Julian Kliemann","Federico Zeri","baroque"
"Fritz Heinemann","Stefano Tumidei","baroque"
"Wolfgang Lotz","Stefano Tumidei","baroque"
"Julian Kliemann","Stefano Tumidei","baroque"
"Wolfgang Lotz","Fritz Heinemann","baroque"
"Julian Kliemann","Fritz Heinemann","baroque"
"Julian Kliemann","Wolfgang Lotz","baroque"
"Richard Krautheimer","Ellis Waterhouse","baroque"
"Federico Zeri","Ellis Waterhouse","baroque"
"Stefano Tumidei","Ellis Waterhouse","baroque"
"Fritz Heinemann","Ellis Waterhouse","baroque"
"Luigi Salerno","Ellis Waterhouse","baroque"
"Kurt Badt","Ellis Waterhouse","baroque"
"Wolfgang Lotz","Ellis Waterhouse","baroque"
"Julian Kliemann","Ellis Waterhouse","baroque"
"Luigi Salerno","Richard Krautheimer","baroque"
"Kurt Badt","Richard Krautheimer","baroque"
"Luigi Salerno","Federico Zeri","baroque"
"Luigi Salerno","Stefano Tumidei","baroque"
"Kurt Badt","Stefano Tumidei","baroque"
"Luigi Salerno","Fritz Heinemann","baroque"
"Kurt Badt","Fritz Heinemann","baroque"
"Kurt Badt","Luigi Salerno","baroque"
"Wolfgang Lotz","Luigi Salerno","baroque"
"Julian Kliemann","Luigi Salerno","baroque"
"Wolfgang Lotz","Kurt Badt","baroque"
"Julian Kliemann","Kurt Badt","baroque"
"Kurt Badt","Federico Zeri","mannerism"
"Fritz Heinemann","Federico Zeri","mannerism"
"Julian Kliemann","Federico Zeri","mannerism"
"Julian Kliemann","Fritz Heinemann","mannerism"
"Federico Zeri","Ellis Waterhouse","mannerism"
"Fritz Heinemann","Ellis Waterhouse","mannerism"
"Kurt Badt","Ellis Waterhouse","mannerism"
"Julian Kliemann","Ellis Waterhouse","mannerism"
"Kurt Badt","Fritz Heinemann","mannerism"
"Julian Kliemann","Kurt Badt","mannerism"
"Roberto Longhi","Everett Fahy","14th century"
"Kurt Badt","Federico Zeri","16th century"
"Federico Zeri","Everett Fahy","16th century"
"Stefano Tumidei","Everett Fahy","16th century"
"Fritz Heinemann","Everett Fahy","16th century"
"Luisa Vertova","Everett Fahy","16th century"
"Wolfgang Lotz","Everett Fahy","16th century"
"Julian Kliemann","Everett Fahy","16th century"
"Roberto Longhi","Everett Fahy","16th century"
"Stefano Tumidei","Federico Zeri","16th century"
"Fritz Heinemann","Federico Zeri","16th century"
"Luisa Vertova","Federico Zeri","16th century"
"Wolfgang Lotz","Federico Zeri","16th century"
"Julian Kliemann","Federico Zeri","16th century"
"Roberto Longhi","Federico Zeri","16th century"
"Fritz Heinemann","Stefano Tumidei","16th century"
"Luisa Vertova","Stefano Tumidei","16th century"
"Wolfgang Lotz","Stefano Tumidei","16th century"
"Julian Kliemann","Stefano Tumidei","16th century"
"Roberto Longhi","Stefano Tumidei","16th century"
"Luisa Vertova","Fritz Heinemann","16th century"
"Wolfgang Lotz","Fritz Heinemann","16th century"
"Julian Kliemann","Fritz Heinemann","16th century"
"Roberto Longhi","Fritz Heinemann","16th century"
"Wolfgang Lotz","Luisa Vertova","16th century"
"Julian Kliemann","Luisa Vertova","16th century"
"Roberto Longhi","Luisa Vertova","16th century"
"Julian Kliemann","Wolfgang Lotz","16th century"
"Roberto Longhi","Wolfgang Lotz","16th century"
"Roberto Longhi","Julian Kliemann","16th century"
"Gustav Ludwig","Everett Fahy","16th century"
"Gustav Ludwig","Federico Zeri","16th century"
"Gustav Ludwig","Stefano Tumidei","16th century"
"Fritz Heinemann","Gustav Ludwig","16th century"
"Luisa Vertova","Gustav Ludwig","16th century"
"Julian Kliemann","Gustav Ludwig","16th century"
"Roberto Longhi","Gustav Ludwig","16th century"
"Kurt Badt","Stefano Tumidei","16th century"
"Kurt Badt","Fritz Heinemann","16th century"
"Wolfgang Lotz","Kurt Badt","16th century"
"Julian Kliemann","Kurt Badt","16th century"
"Julius S. Held","Everett Fahy","16th century"
"Kurt Badt","Everett Fahy","16th century"
"Julius S. Held","Federico Zeri","16th century"
"Stefano Tumidei","Julius S. Held","16th century"
"Gustav Ludwig","Julius S. Held","16th century"
"Fritz Heinemann","Julius S. Held","16th century"
"Luisa Vertova","Julius S. Held","16th century"
"Kurt Badt","Julius S. Held","16th century"
"Wolfgang Lotz","Julius S. Held","16th century"
"Julian Kliemann","Julius S. Held","16th century"
"Roberto Longhi","Julius S. Held","16th century"
"Kurt Badt","Gustav Ludwig","16th century"
"Wolfgang Lotz","Gustav Ludwig","16th century"
"Kurt Badt","Luisa Vertova","16th century"
"Roberto Longhi","Kurt Badt","16th century"
"Werner Cohn","Richard Krautheimer","lorenzo ghiberti"
"Leo Steinberg","Richard Krautheimer","francesco borromini"
"Federico Zeri","Richard Krautheimer","gian lorenzo bernini"
"Stefano Tumidei","Richard Krautheimer","gian lorenzo bernini"
"Wolfgang Lotz","Richard Krautheimer","gian lorenzo bernini"
"Stefano Tumidei","Federico Zeri","gian lorenzo bernini"
"Wolfgang Lotz","Federico Zeri","gian lorenzo bernini"
"Wolfgang Lotz","Stefano Tumidei","gian lorenzo bernini"
"Roberto Longhi","Federico Zeri","caravaggio"
"Luigi Salerno","Federico Zeri","caravaggio"
"Roberto Longhi","Luigi Salerno","caravaggio"
"Stefano Tumidei","Federico Zeri","17th century"
"Fritz Heinemann","Federico Zeri","17th century"
"Luisa Vertova","Federico Zeri","17th century"
"Wolfgang Lotz","Federico Zeri","17th century"
"Julian Kliemann","Federico Zeri","17th century"
"Roberto Longhi","Federico Zeri","17th century"
"Fritz Heinemann","Stefano Tumidei","17th century"
"Luisa Vertova","Stefano Tumidei","17th century"
"Wolfgang Lotz","Stefano Tumidei","17th century"
"Julian Kliemann","Stefano Tumidei","17th century"
"Roberto Longhi","Stefano Tumidei","17th century"
"Luisa Vertova","Fritz Heinemann","17th century"
"Wolfgang Lotz","Fritz Heinemann","17th century"
"Julian Kliemann","Fritz Heinemann","17th century"
"Roberto Longhi","Fritz Heinemann","17th century"
"Wolfgang Lotz","Luisa Vertova","17th century"
"Julian Kliemann","Luisa Vertova","17th century"
"Roberto Longhi","Luisa Vertova","17th century"
"Julian Kliemann","Wolfgang Lotz","17th century"
"Roberto Longhi","Wolfgang Lotz","17th century"
"Roberto Longhi","Julian Kliemann","17th century"
"Luigi Salerno","Federico Zeri","17th century"
"Luigi Salerno","Stefano Tumidei","17th century"
"Luigi Salerno","Fritz Heinemann","17th century"
"Wolfgang Lotz","Luigi Salerno","17th century"
"Julian Kliemann","Luigi Salerno","17th century"
"Julius S. Held","Federico Zeri","17th century"
"Stefano Tumidei","Julius S. Held","17th century"
"Fritz Heinemann","Julius S. Held","17th century"
"Luisa Vertova","Julius S. Held","17th century"
"Wolfgang Lotz","Julius S. Held","17th century"
"Julian Kliemann","Julius S. Held","17th century"
"Roberto Longhi","Julius S. Held","17th century"
"Roberto Longhi","Luigi Salerno","17th century"
"Luigi Salerno","Julius S. Held","17th century"
"Luisa Vertova","Luigi Salerno","17th century"
"Luisa Vertova","Stefano Tumidei","neoclassicism"
"Luisa Vertova","Stefano Tumidei","18th century"
"Luigi Salerno","Stefano Tumidei","18th century"
"Luisa Vertova","Luigi Salerno","18th century"
"Luisa Vertova","Fritz Heinemann","titian"
"Leo Steinberg","Fritz Heinemann","titian"
"Leo Steinberg","Luisa Vertova","titian"
"Fritz Heinemann","Gustav Ludwig","titian"
"Luisa Vertova","Gustav Ludwig","titian"
"Leo Steinberg","Gustav Ludwig","titian"
"Fritz Heinemann","Gustav Ludwig","giovanni bellini"
"Roberto Longhi","Fritz Heinemann","vittore carpaccio"
"Fritz Heinemann","Gustav Ludwig","vittore carpaccio"
"Roberto Longhi","Gustav Ludwig","vittore carpaccio"
"Roberto Longhi","Werner Cohn","carlo carrà"

